DATETIME, REPOSITORY_URL, BRANCH, SCORE, LEVEL, RESULT, DROP_INTERVAL
2021/12/28_20:59:17, https://github.com/seigot/tetris, master, -1578, 1, SUCCESS, 1000
2021/12/29_3:06:33, https://github.com/seigot/tetris, master, -1075, 1, SUCCESS, 1000
2021/12/29_3:06:54, https://github.com/seigot/tetriss, -, 0, -, github_url_string_NG, -
2021/12/29_3:07:22, https://github.com/seigot/tetris, master, -2094, 1, SUCCESS, 1000
2021/12/29_3:07:37, hogehogetest, -, 0, -, github_url_string_NG, -
2021/12/29_14:37:54, https://github.com/seigot/tetris, master, -1641, 1, SUCCESS, 1000
2021/12/29_22:06:41, https://github.com/seigot/tetris, master, -1509, 1, SUCCESS, 1000
null, null, -, 0, -, github_url_string_NG, -
2022/01/04_2:45:36, https://github.com/seigot/tetris, master, -1440, 1, SUCCESS, 1000
2022/01/04_4:06:37, https://github.com/seigot/tetris, master, -1505, 2, SUCCESS, 1000
2022/01/04_4:06:48, https://github.com/seigot/tetris, master, -5481, 3, SUCCESS, 1000
2022/01/04_13:07:25, https://github.com/seigot/tetris, master, -5927, 3, SUCCESS, 1000
